year|movie|quote|author|tags|status2020|Angrezi Medium|Bharat ko angrezon se azaadi lene mein 200 saal lage the ... tu 18 tak toh ruk hi sakti hai|Irrfan Khan|Comedy|Not Uploaded
2020|Malang|Aaj ka andhera bahut gehra aane wala hai ... aur khamoshi kaan phaad|Anil Kapoor|Drama|Not Uploaded
2020|Malang|Criminal ko arrest karke case khatam hota hai ... criminal nahi ... woh kabhi na kabhi dushman bankar phir vapas lautta hai|Anil Kapoor|Thief & Criminal|Not Uploaded
2020|Panga|Jab insaan ka waqt badalta hai na ... toh aas paas ke logon ka ravaiya bhi badal jaata hai|Kangana Ranaut|Time|Not Uploaded
2020|Panga|Har ek khiladi apne liye ya apne team ke liye khelta hai ... sirf kuch ek khushnaseeb khiladi aise hote hai, jinko desh ke liye khelne ka mauka milta hai|Unknown|Sports & Games|Not Uploaded
2020|Panga|Koi bhi khiladi us din ke liye khelta hai, jis din woh desh ke liye khelta hai|Unknown|Sports & Games|Not Uploaded
2020|Shimla Mirchi|Deewane ka dimaag hai khali ... bina hope ke hi duniya basa li|Shakti Kapoor|Comedy|Not Uploaded
2020|Shimla Mirchi|Tareef kya karoon main aapki, words nahi milte ... itne kam budget mein aise honhar balak nahi milte|Shakti Kapoor|Shayari|Not Uploaded
2020|Shimla Mirchi|Kuch log joh sochte hai usse paate hai ... aur kuch aise loser hote hai joh sirf apna waqt ganwate hai|Shakti Kapoor|Shayari|Not Uploaded
2020|Shimla Mirchi|Pyar us hi se karna joh tumse pyar kare ... khud se zyada tumpar aitbaar kare|Hema Malini|Romance|Not Uploaded
2020|Shimla Mirchi|Jahan dekho ishq ke bimaar baithe hai ... lakhon mar gaye, saikadon taiyaar baithe hai|Shakti Kapoor|Shayari|Not Uploaded
2020|Shubh Mangal Zyada Saavdhan|Shaadiyan mahurat se hoti hai ... par pyar ka koi mahurat nahi hota hai ... na rang hota hai ... aur na koi ling hota hai|Ayushmann Khurrana|Marriage & Wedding|Not Uploaded
2020|Shubh Mangal Zyada Saavdhan|Jack and Johnny went up the hill to live in love and laughter ... Jack ki leli papa ne aur Johnny chup gaya bhaagkar|Ayushmann Khurrana|Poem|Not Uploaded
2020|Shubh Mangal Zyada Saavdhan|Roz humein ladai ladni padti hai zindagi mein ... par joh ladai pariwar ke saath hoti hai woh saari ladaiyon mein sabse badi aur khatarnak hoti hai|Ayushmann Khurrana|Family|Not Uploaded
2020|Sooryavanshi|Jis goli se tu marega uske upar aisa bade mein likha hoinga ... Made in India|Akshay Kumar|Action|Not Uploaded
2020|Sooryavanshi|Mumbai police passport pe religion dekhkar goli nahi chalati ... criminal record dekhkar thokti hai|Akshay Kumar|Police|Not Uploaded
2020|Street Dancer 3D|Chahe tere lab pe Waheguru da naam aave ya na aave ... lekin woh pal bhi ibadat da haunda hai jab tu kisi aur ke kaam aave|Varun Dhawan|Religion & God|Not Uploaded
2020|Street Dancer 3D|Champion bhi ikka tab nikalta hai jab saamne badshah hota hai|Varun Dhawan|Gambling|Not Uploaded
2020|Street Dancer 3D|Tu jaanta hai tumhare aur hamare dance mein kya farak hai ... tu khud ke liye dance karta hai ... hum doosron ke liye|Prabhu Deva|Dance|Not Uploaded
2020|Street Dancer 3D|Meri life ka rule number 1 hai ... never be number 2|Varun Dhawan|Victory & Success|Not Uploaded
2020|Street Dancer 3D|Dua tujhe aage milegi ya nahi milegi ... lekin yeh saali baddua hai na, yeh tera peecha kabhi nahi chhodegi|Prabhu Deva|Drama|Not Uploaded
2020|Street Dancer 3D|Apna joh dil hai na woh dimaag jitna nahi sochta ... haan lekin joh sochta hai, bilkul sahi sochta hai|Shraddha Kapoor|Inspiration|Not Uploaded
2020|Street Dancer 3D|Physics bolta hai ... two negatives make one positive ... economics bhi bolta hai ... akele mein loss karne se behtar hai, profit sharing karlo ... aur moral science bhi bolta hai ... united we stand and divided we fall ... history mein bhi kaha hai ... gore log India se tab bhaage jab hum log ek the|Unknown|Technology & Science|Not Uploaded
2020|Street Dancer 3D|Apne liye naacha toh kya naacha ... apno ke liye naacha toh koi baat hai|Unknown|Dance|Not Uploaded
2020|Street Dancer 3D|We dance to express and you dance to impress|Unknown|Dance|Not Uploaded
2020|Tanhaji: The Unsung Warrior|Har Maratha pagal hai ... swaraj ka, Shivaji raje ka, bagwe ka|Ajay Devgan|Patriotism|Not Uploaded
2020|Tanhaji: The Unsung Warrior|Jab Shivaji raje ki talwar chalti hai ... toh auraton ka ghunghat aur brahmanon ka janeyu salamat rehta hai|Kajol|Drama|Not Uploaded
2020|Tanhaji: The Unsung Warrior|Teri mitti jazbaat se judi hai aur meri akkal pani se ... tu jaan de sakta hai, main jaan le sakta hoon|Saif Ali Khan|Drama|Not Uploaded
2020|Tanhaji: The Unsung Warrior|Jise haarne ka darr nahi ... jeet usse door nahi|Ajay Devgan|Victory & Success|Not Uploaded
2020|Tanhaji: The Unsung Warrior|Joh yodha apni talwar khud banata hai ... us par uska vishwas dugna ho jaata hai|Sharad Kelkar|Action|Not Uploaded
2020|Tanhaji: The Unsung Warrior|Jis tarah mitti ke har kann mein pahad hota hai ... har beej mein ek jungle ... har talwar mein ek sena ... ussi tarah har ek Maratha mein chupa hai lakh Maratha|Ajay Devgan|Courage|Not Uploaded
2020|Tanhaji: The Unsung Warrior|Yudh mein shastra nahi, saahas chahiye ... sena nahi, himmat chahiye|Unknown|Courage|Not Uploaded
2020|Tanhaji: The Unsung Warrior|Jab dushman ko hara na sake aur khud ki haar manzoor na ho ... toh ek hi raasta bachta hai ... sulah|Unknown|Enemy|Not Uploaded
2020|Tanhaji: The Unsung Warrior|Hamla ... pehla vaar lakh molachi|Unknown|Action|Not Uploaded
2020|Thappad|Rishtey banane mein utni effort nahi lagti jitna nibhane mein lagti hai|Dia Mirza|Drama|Not Uploaded
2020|Thappad|Hum toh hamesha sahi sochke karte hai ... aur kayi baar sahi karne ka result happy nahi hota|Unknown|Drama|Not Uploaded
2020|Thappad|Har rishta flawed hota hai ... usse jodke rakhna padta hai|Unknown|Drama|Not Uploaded
2019|Amavas|Sach hamesha woh nahi hota joh sirf dikhai de|Mona Singh|Truth & Honesty|Not Uploaded
2019|Amavas|Har sikke ke do pehlu hote hai ... if there is god, there is evil ... agar achai hai, toh burai bhi hai ... agar roshni hai, toh andhera bhi|Mona Singh|Drama|Not Uploaded
2019|Amavas|Joh aatma badla chahti ho ya phir koi adhoori khwaish poori karne aayi ho ... woh bahut dangerous hoti hai|Mona Singh|Horror|Not Uploaded
2019|Arjun Patiala|Jab chote the toh sochte the ki duniya badal denge ... vade huye toh samajh mein aaya ki duniya ko samajh le, yehi kaafi hai|Ronit Roy|World & Universe|Not Uploaded
